Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Meine Schwester;MONA Film Produktion GmbH;1949272;385746;FFW;;ARD,ORF;90;2011;"Katharina Wallner führt in Wien einen Laden mit Filmrelikten. Der Hausbesitzer Ortner will jedoch das Haus abreißen lassen. Als sich Katharina weigert den Laden zu schließen, beginnt Ortner sie zu schikanieren. Die einzige Aufmunterung für Katharina ist die zehnjährige Lena, die sie täglich besucht. Lenas Mutter Mirijana ist Ortners Geliebte. Eines Nachts muss Lena mit ansehen, wie ihre Mutter vom angetrunkenen Ortner geschlagen wird. Das Kind flüchtet zu Katharina und bittet um Hilfe. Doch Katharina ist völlig durcheinander, denn sie hat in derselben Nacht Besuch von ihrer tot geglaubten Schwester Hannah bekommen. Am nächsten Morgen wird Ortner tot im Hof aufgefunden. Aufgrund zahlreicher Indizien erhärtet sich der Verdacht gegen Hannah.";"Katharina Wallner runs a shop in Vienna selling film relics. However Ortner, the owner of the property, wants to demolish the building. When Katharina refuses to close the shop down, Ortner begins to make life difficult for her. Her only source of cheer is Lena, a ten-year-old girl who visits her daily. Mirijana, Lena's mother, is Ortner's mistress. One night in a drunken stupor, Ortner beats Lena's mother as the young girl looks on. The child flees to Katharina and begs for help. Katharina, meanwhile, is utterly confused, having received a visit the same night from her sister Hannah, whom she had believed dead. Ortner's body is discovered in the courtyard the next morning. As the evidence is gathered, Hannah comes under suspicion."
Meine Tochter nicht;ALLEGRO Filmproduktion GmbH;1643788;328674;FFW;;Sat.1,ORF;92;2009;"Nadja, ein scheinbar wohlbehütetes Mädchen, schlittert ­ von ihrer ersten großen Liebe geblendet ­ in den Abgrund der Drogenwelt. Die fassungslosen Eltern Maria und Paul beginnen, um ihr Kind zu kämpfen. Schnell wird allen Beteiligten klar: In diesem Kampf geht es um Leben oder Tod. Immer, wenn Maria glaubt, das Leben wieder im Griff zu haben, passiert die nächste Kata strophe. Die Tochter lügt, ihr Freund stiehlt Geld, dann verschwinden die beiden. Irgendwann halten die Eltern ihr völlig zugedröhntes Kind in den Händen. Da wird Paul klar: Extreme Situationen verlangen extreme Maßnahmen.";"Nadja, a girl who has grown up in a sheltered environment, slips into the abyss of the drugs scene under the influence of her first great love. Her bewildered parents Maria and Paul start to fight to get their child back. Soon all of those involved realise that it is a matter of life or death. As soon as Maria thinks she has things under control again, the next disaster occurs. Her daughter lies, her boyfriend steals money, and then the two of them disappear. At some stage the parents find themselves holding their drugged-up child in their arms. It becomes clear to Paul that extreme situations demand extreme measures."
Meine Tochter, ihr Freund und ich;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;1785842;347311;FFW;;ZDF,ORF;90;2011;"Als Iris entdeckt, dass ihr Mann sie mit der Nachbarin betrügt, zieht sie zu ihrer Tochter Sandra, die einen um 27 Jahren älteren Freund (Hans) hat. Da Sandra Hans heiraten will, ist sie von der Anwesenheit ihrer Mutter überhaupt nicht begeistert. Genauso wenig wie Iris, die nichts von der anstehenden Hochzeit hält. Hans hingegen genießt seine Schwiegermutter in spe. Immer noch unter der Trennung leidend, lernt Iris Hans Sohn Tobias kennen, der im selben Haus wohnt. Obwohl Tobias heimlich in Sandra verliebt ist, nähert er sich Iris an. Sandra entdeckt wiederum, dass sie eigentlich auch in Tobias verliebt ist und so entsteht eine ziemlich turbulente Beziehungskomödie mit einem Happy End.";"On discovering that her husband is cheating on her with the woman next door, Iris moves in with her daughter Sandra, whose partner Hans is 27 years older. Wishing to marry Hans, Sandra is hardly thrilled with having her mother around. The same goes for Iris, who is not happy about the impending marriage. Yet Hans enjoys the company of his mother-in-law to be. Still suffering from her separation, she meets Hans' son Tobias, who also lives in the house. He makes advances to Iris, even though secretly in love with Sandra. Sandra, meanwhile, discovers that she is really in love with Tobias. The result is a lively romantic comedy with a happy ending."
Molly & Mops;Mungo Film- und Fernsehproduktionsgesellschaft m.b.H.;3412228;669100;FFW;;ZDF,ORF;2x90;2009;"Teil 1: ""Das Leben ist kein Gugelhupf"" - Um ihre Schulden loszuwerden, nimmt Zuckerbäckerin Molly an einem Wettbewerb für Konditoren teil. Sie muss sich mithilfe ihrer Hündin Mops in einem Spiel der Intrigen behaupten, ohne dabei das Wesentliche aus den Augen zu verlieren: ihre Liebe zum Backen. // Teil 2: ""Ein Mops kommt selten allein"" - Mit dem Geld, das Molly beim Konditoren-Wettbewerb gewonnen hat, eröffnet sie ein Café. Unterstützt von Oma Klara und ihrer Freundin hat Molly auch ein Catering-Service aufgebaut und arbeitet an einem Kochbuch. Alles läuft gut, bis die Kaffeehauskette ""Blaumann Coffee"" versucht, Mollys Café zu übernehmen.";"Teil 1: ""Das Leben ist kein Gugelhupf"" - In the hope of being able to pay off her debts, the confectioner Molly takes part in a competition for pastry cooks. With the help of Mops, her dog, she has to assert herself in a game of intrigue without losing sight of the most important thing: her love of baking. // Teil 2: ""Ein Mops kommt selten allein"" - Molly uses the money she won in the confectioners' competition to open a café. With her grandma Klara's and her friend's support Molly has also set up a catering service and is working on a cookery book. Everything works out fine until the ""Blaumann Coffee"" chain of cafeterias tries to take over Molly`s café."
Nicht ohne meinen Enkel;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;1855469;413993;Cinestyria,FFW,Stadt Graz;Maran-Film-Gesellschaft mit beschränkter Haftung;ARD,ORF;90;2012;"Franziska ist pensionierte Lehrerin und liebt ihren Enkel Tobias abgöttisch. Sie verwöhnt ihn, wenn er bei ihr in Wien ist, viel zu sehr. Das Verhältnis zur Schwiegertochter Silke ist allerdings getrübt. Als Franziskas Sohn Martin bei einem Autounfall, an dem Silke ihrer Schwiegermutter die Schuld gibt, stirbt, schränkt sie den Kontakt zwischen Franziska und Tobias drastisch ein. Franziska will sich das nicht gefallen lassen. Franziska klagt das Besuchsrecht ein und ein Prozess beginnt, bei dem Tobias von beiden Seiten zu einer Aussage genötigt wird. Die beiden Frauen erkennen, dass sie ihren Konflikt auf dem Rücken des Kindes austragen und finden schließlich zu einem Arrangement.";"The retired teacher Franziska absolutely adores her grandson Tobias. She spoils him rotten when he visits her in Vienna. Yet her relationship with Silke, her daughter-in-law, is clouded. When Martin, Franziska's son, dies in a car accident, Silke blames her mother-in-law and drastically restricts contact between Franziska and Tobias. Franziska is not willing to stand for this and files a suit for visitation rights. In the ensuing court proceedings both sides put pressure on Tobias to make a choice. The two women recognise that they are using Tobias to carry out their conflict and ultimately arrive at an arrangement."
Nur der Berg kennt die Wahrheit;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;1799537;357497;CINESTYRIA,FFW,Stadt Graz;Maran-Film-Gesellschaft mit beschränkter Haftung;ARD,ORF;88;2010;"""Nur der Berg kennt die Wahrheit"" ist Teil einer Reihe basierend auf Romanen von Ludwig Ganghofer. Johanna und Marlies bekommen den Auftrag, für eine ursprüngliche Gegend in der Steiermark eine geeignete touristische Vermarktung zu finden. Von einer Vor-Ort-Begehung kehrt Marlies nicht mehr zurück. Johanna macht sich auf den Weg, um den Tod ihrer Freundin zu klären. Welche Rolle spielen dabei der Extrembergsteiger Ferdinand und sein Bruder? Eine Reise zu den ursprünglichen Dingen in einer naturbelassenen Gegend beginnt, und Johanna entdeckt nicht nur die Sage vom ""Edelweißkönig"".";"""Only the Mountain Knows the Truth"" is the second in a series based on novels by Ludwig Ganghofer. Johanna and Marlies are sent out to find a suitable advertising approach for a region of the province of Styria as yet untouched by tourism. Marlies sets out to scout the area on foot but does not return. Johanna takes up the quest of finding out what led to her friend's death. What part did Ferdinand, an extreme alpinist, and his brother play? Johanna embarks on a journey to the pristine beauty of an untouched area of nature, where among other things she discovers the legend of the ""White King""."
Oh Shit!;EPO ­ Filmproduktionsgesesllschaft m.b.H.;1255609;400000;FFW,Land Salzburg;Cats & Dogs Film;Pro7,ORF;90;2009;"Parodie auf einen Katastrophenfilm: Der geniale Wissenschaftler DDDr. Jan Brauer beschäftigt sich seit acht Jahren mit nichts anderem als der Chaostheorie. Als endgültigen Beweis seiner These züchtet er eine neuartige Schmetterlingsgattung, um das Ergebnis seiner Forschung bei einer internationalen Konferenz in Berlin präsentieren zu können. Doch der ""Katastrophen""-Schmetterling entwischt bei der Vorführung und demonstriert auf sehr eindrückliche Weise die Richtigkeit der jahrelangen Forschungsarbeit: Er droht nicht nur Berlin, sondern die ganze Welt zu zerstören! ­ Kann Jan die Welt retten?";"Parody of a disaster film: The brilliant scientist Jan Brauer has been working on the chaos theory ­ and nothing else ­ for eight years now. As the ultimate proof for his theory he breeds a new type of butterfly in order to be able to present the results of his research at an international conference in Berlin. However, the ""catastrophe butterfly"" escapes during the presentation and impressively demonstrates the accuracy of Jan's many years of research work: it threatens to destroy not only Berlin, but the entire world. ­ Can Jan save the world?"
Oma wider Willen;LISA Film Produktion GmbH;2007007;397681;;;ARD,ORF;88;2010;"Firmenchefin Henriette Dietrichstein musste in ihrem Leben schon oft die Zähne zusammenbeißen: Ihr Mann ist gestorben, ihre einzige Tochter auf Nimmerwiedersehen mit einem brasilianischen Ganoven durchgebrannt. Geschäftlich ist sie durch ihr eisernes Vorgehen erfolgreich, aber privat eher einsam. Als eines Tages ein kleines Mädchen vor ihrer Tür steht und behauptet, Henriettes Enkelin zu sein, ist sie erst mal gar nicht begeistert. Doch dank ihres treuen Anwalts Richard nähern sich die beiden schnell an.";"Henriette Dietrichstein is a businesswoman who has braved many a challenge in life: her husband died prematurely and her only daughter has run off for good with a crook from Brazil. Thanks to an iron will she is successful in business, but her personal life is marked by loneliness. When one day a little girl appears at her door claiming to be her granddaughter, Henrietta is hardly thrilled at first. Yet the two quickly become close, thanks to the help of Richard, her trusted lawyer."
Plötzlich fett;Dor Film-produktionsgesellschaft m.b.H.;1750787;350000;FFW;Ninety-Minute Film GmbH;Sat.1,ORF;90;2011;"Der arrogante Nick, Personal Trainer und Inhaber eines elitären Fitnessclubs, verhilft zahlungskräftigen Frauen zu ihrer Traumfigur ­ bis er sich eines Morgens in seinem schlimmsten Alptraum wiederfindet: Er wacht auf und ist um 100 Kilo schwerer. Die Ärzte sind ratlos. Dass ihn seine vor der Welt geheim gehaltene Vergangenheit als schwer übergewichtiges, gehänseltes Kind einzuholen scheint, verdrängt Nick ebenso wie die Tatsache, dass es jemanden gibt, dessen Schicksal mit dem seinen untrennbar verbunden ist. Oder wie ist es zu erklären, dass Eva, eine Frau, die er aufgrund ihres Übergewichts öffentlich gedemütigt hat, in derselben Nacht wie er eine wundersame Verwandlung durchmacht? ­ bloß dass Eva plötzlich eine Traumfigur besitzt.";"Nick, a haughty personal fitness coach with his own exclusive studio, helps wealthy women achieve their ideal figure. One day he wakes up to find himself in his worst nightmare: he has gained more than 200 pounds overnight. The doctors are baffled. What Nick does not mention is how his early trauma of being a pudgy child and an object of scorn appear to have caught up with him, and that he knows of someone whose fate would seem to be inextricably linked to his own. Or what other explanation is there for Eva, a woman Nick often humiliated for her extra pounds and who in the very same night also underwent a miraculous transformation ­ but, unlike Nick, all of a sudden was granted her ideal figure?"
Polt V;EPO ­ Filmproduktionsgesellschaft m.b.H.;2077426;588000;Land Niederösterreich;;ORF,ARTE;90;2013;"Für Simon Polt, Gendarmerie-Inspektor im frei gewählten Ruhestand, hat sich viel geändert: Beruflich geht er neue Wege und die gemeinsame Zukunft mit seiner Langzeitfreundin erscheint unvermutet in einem völlig neuen Licht. Zur Polizei, die nunmehr über die kleinen Dörfer im Weinviertel wacht, hat Polt kaum noch Kontakt ­ nur mit Norbert Sailer, einem Ordnungshüter ganz nach seinem Geschmack, ist er befreundet. Doch die Leiche eines Fremden bringt Simon Polts ruhig gewordene Welt gründlich durcheinander. Niemand will den Toten gekannt haben, aber einige scheinen doch mehr von ihm zu wissen, als sie der Polizei gegenüber zugeben wollen.";"Much has changed for Simon Polt, the police inspector in voluntary retirement. Pursuing other professional interests, he unexpectedly discovers a new perspective for sharing the future with his partner of many years. Polt has few remaining ties with the police watching over the small villages of north-eastern Lower Austria. He has only stayed friends with Norbert Sailer who, as a man of the law, is quite to Polt's taste. Simon Polt's peaceful world is thoroughly shaken up, however, when the corpse of a stranger turns up. While no one admits to having known the victim, some would appear to have more information about him than they are willing to tell the police."
Restrisiko;Dor Film-Produktionsgesellschaft m.b.H.;2384745;200000;Filmförderung Hamburg,Filmboard Berlin-Brandenburg;Ninety-Minute Film GmbH;Sat.1;90;2010;"Katja Wernecke, geschieden, zwei Kinder, ist die Sicherheitschefin eines Atomkraftwerks. Durch die von der Politik beschlossene Laufzeitverlängerung der Atomkraftwerke als ""Brückentechnologie"" ist Katjas Arbeitsplatz für die Zukunft gesichert. Doch durch eine Verkettung verschiedenster Störfälle kommt es beim Betrieb des AKW zu dem als Restrisiko nie ganz auszuschließendem Super-Gau. Die Auswirkungen sind verheerend. Die Frage nach den Schuldigen kommt auf. Sündenböcke werden gesucht. Katja Wernecke sieht sich plötzlich einem ungeheuren Verdacht ausgesetzt. Wird es ihr gelingen, ihre Unschuld zu beweisen?";"Katja Wernecke, a divorcée with two children, is head of security at a nuclear power plant. Katja will probably not have any job worries for a long time to come, thanks to the government's decision to bridge the technology gap by extending the service life of nuclear plants. Yet operating a nuclear power station always entails a certain underlying risk, and a chain of faults occurs culminating in a major nuclear accident. The effects are devastating. The question of guilt is raised and scapegoats are sought. All of a sudden Katja Wernecke is faced with terrible allegations. Will she succeed in proving her innocence?"
Ruf der Pferde;Berge 7 FilmProduktions GmbH;1602260;320000;Cine Tirol;;ORF,DK4;90;2012;"Nach dem Unfalltod seiner Tochter hat Hansi, ein ehemals begnadeter Pferdeflüsterer, diese Gabe verloren und sich völlig auf seinen Bauernhof im Herzen Tirols zurückgezogen. Seine Frau Anna nimmt ein berufliches Angebot im Ausland an. Sein Leben in völliger Zurückgezogenheit ändert sich erst, als er Jessy, ein aus einem von der Schließung bedrohten Kinderheim ausgerissenes Mädchen, aus einem wilden Bach rettet. Gemeinsam mit seiner Frau Anna, die wieder nach Tirol zurückgekehrt ist, setzt sich Hansi dafür ein, dass das Kinderheim weiterbestehen kann, und er unterstützt Jessy, die eine natürliche Begabung im Umgang mit Pferden hat.";"Hansi, once a gifted horse-whisperer, loses his talent when his daughter dies in an accident, and he retreats to a life of seclusion at his farm in the heart of the Tyrol. Anna, his wife, accepts a job offer abroad. His life of total seclusion comes to an end when he saves a girl from a raging stream. The girl, Jessy, ran away from her children's home after she discovered it might be closed down. When Anna returns to the Tyrol, Hansi campaigns to ensure that the children's home can continue to operate, and he supports Jessy in her natural talent in dealing with horses."
Sarajevo;DOR FILM-Produktionsgesellschaft m.b.H.;3510000;850000;FFW;;ORF,ZDF;90;2013;"Am 28. Juni 1914 fallen der österreichische Thronfolger Franz Ferdinand und seine Frau Sophie in der bosnischen Hauptstadt Sarajevo einem Attentat zum Opfer. Untersuchungsrichter Leo Pfeffer soll die serbischen Attentäter vernehmen und die Anklage vorbereiten. Er entdeckt, dass die jungen Männer offenbar tatkräftig unterstützt wurden ­ von gänzlich unerwarteter Seite. Mitten in den bereits anlaufenden Kriegsvorbereitungen kämpft Leo Pfeffer darum, die wahren Hintergründe herauszufinden.";"28 June 1914: the heir to the Austrian throne Archduke Franz Ferdinand and his wife Sophie are assassinated in the Bosnian capital of Sarajevo. The judge investigating the case, Leo Pfeffer, is to hear the Serbian assassins and prepare charges. As he discovers, the young men apparently drew significant support ­ from a wholly unlikely quarter. Amidst the ongoing preparations for war, Leo Pfeffer struggles to bring to light the true background."
Schatten der Erinnerung;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;1779096;320000;FFW,CineStyria,Stadt Graz;Maran-Film-Gesellschaft mit beschränkter Haftung;ARD,ORF;90;2009;"Die Forstwirtin Lena kehrt nach Jahren mit ihrer kleinen Tochter in ihren Heimatort zurück, den sie nach dem Tod ihrer Mutter und einem Zerwürfnis mit ihrem Vater verlassen hat. Sie findet dort den Vater ihrer Tochter und dessen Liebe wieder und kann sich mit ihrem Vater wieder versöhnen. Ihre ehemals beste Freundin, die den Vater ihrer Tochter geheiratet hat, will für ein Immobilienprojekt den Schutzwald des Ortes abholzen. Lena kann dies in letzter Minute verhindern und rettet ihren Heimatort vor einer Naturkatastrophe. Das Drehbuch wurde nach Motiven von Ludwig Ganghofer geschrieben.";"After years away, the forester Lena returns with her little daughter to her home village, which she had left after the death of her mother and a row with her father. There she finds the father of her daughter again and his love, and a reconciliation with her father. Her former best friend, who married the father of her daughter, wants to cut down the forest which protects the village from avalanches for property development. Lena is able to prevent this at the last minute and saves her village from a natural disaster. The screenplay is loosely based on the writing of Ludwig Ganghofer."
Schon wieder Henriette;MONA Film Produktion GmbH;1833760;522000;Land Niederösterreich;;ORF,ARD;90;2012;"Wien war lange Zeit der Lebensmittelpunkt von Restauratorin Henriette, doch die Liebe zum Musiker Ferdinand Sternheim ändert alles. Kurzerhand zieht Henriette zu Ferdinand ins idyllische Krems. Dort weckt ein mysteriöser Todesfall ihre kriminalistische Neugier: In einer Galerie findet Henriette den Superstar der einheimischen Kunstszene tot auf. War es ein Unfall oder Mord? Gemeinsam mit ihrem jungen Assistenten Jonas begibt sich Henriette auf Spurensuche, sehr zum großen Ärgernis von Chefinspektor Siegfried Anzengruber, denn für ihn steht die Täterin schnell fest: Lena Setzlaff. Die junge Frau war in den Nachwuchsmaler verliebt und hatte kurz vor seinem Tod noch eine heftige Auseinandersetzung mit ihm. Doch Henriette ermittelt weiter.";"For a long time Vienna was the home of Henriette, a conservator. Yet her love for the musician Ferdinand Sternheim changes everything. Overnight Henriette moves in with Ferdinand in the charming town of Krems. There a mysterious death arouses her curiosity. In a gallery she discovers Austria's most famed artist, dead. An accident or murder? Together with her young assistant Jonas, she looks for clues, much to the chagrin of Chief Inspector Siegfried Anzengruber, who is already sure that he has discovered the perpetrator: Lena Setzlaff. The young woman, who was in love with the fledgling artist, had a serious altercation with him just before his death. But Henriette continues to investigate."
Sisi;Sunset Austria GmbH;11055874;1400000;;EOS Entertainment GmbH;ZDF,ORF;200;2009;"Regisseur Xaver Schwarzenberger gibt dem Mythos rund um die legendäre Kaiserin von Österreich ein neues Gesicht: ""Sisi"" erzählt die Geschichte einer starken Frau, die mit ihren liberalen Ideen Österreich und die Habsburger Monarchie geprägt hat. Im Kampf gegen die Zwänge des Hofes und die der Monarchie erwirbt sie Schritt für Schritt ihre Freiheit wieder, bis sie selbstbewusst als ebenbürtige Partnerin an die Seite ihres Mannes tritt. Sie schaltet sich in letzter Minute in den Konflikt zwischen Österreich und Ungarn ein und verhindert ein Auseinanderbrechen des Reiches.";"The Austrian director Xaver Schwarzenberger gives the myth around the legendary Empress of Austria a new face: ""Sisi"" tells the story of a strong woman who left her mark on Austria and the Habsburg Monarchy with her liberal ideas. In her struggle against the constraints of life at court and the monarchy she regains her freedom step by step, until she becomes a selfconfident and equal partner at the side of her husband. She intervenes in the conflict between Austria and Hungary at the last minute and prevents the Empire from breaking up."
Spuren des Bösen I ­ Das Verhör;Aichholzer Filmproduktion GmbH;1812339;348710;FFW;;ZDF,ORF;90;2010;"Richard Brock, genialer Verhörspezialist der Wiener Polizei, muss einen delikaten Fall lösen: Eine Angestellte der SANDAG, eines multinationalen Baukonzerns, wurde ermordet. Richard erfährt, dass die ermordete Angestellte vor Gericht aussagen hätte sollen ­ wegen des Verdachts von Schmiergeldzahlungen der SANDAG. Hat die SANDAG ihre eigene Angestellte ermorden lassen, um einen Skandal zu vertuschen? Als Brock schließlich entdeckt, dass der lange Arm der SANDAG bis in höchste Polizeikreise reicht, ist sein eigenes Leben in höchster Gefahr.";"Richard Brock, a brilliant interrogation specialist with the Vienna police, is given a sensitive case to solve: the murder of an employee of SANDAG, a transnational construction corporation. Richard learns that the murder victim had been scheduled to give testimony in court ­ in a case involving alleged bribery payments to SANDAG. Did SANDAG have their own employee murdered in order to cover up the affair? In the end Brock discovers that SANDAG's influence extends to the highest echelons of the police force, and his own life is in great danger."
Spuren des Bösen II ­ Racheengel;Aichholzer Filmproduktion GmbH;1834713;363596;FFW;;ZDF,ORF;89;2011;"Sebastian Ulmer flüchtet vor der Polizei und nimmt in einer Buchhandlung Geiseln. Unter diesen ist Richard Brock, der versucht, den verzweifelten jungen Mann zur Aufgabe zu überreden. Doch Sebastian, die Ausweglosigkeit vor Augen, nimmt sich mit der Waffe das Leben. Der Polizeipsychologe ist tief betroffen und will die Ursachen des Dramas klären. Wichtige Hinweise erhält er von dem Geistlichen Josef Bacher: Sebastian wollte sich bereits als neunjähriger Junge umbringen. Der Verdacht des sexuellen Missbrauchs steht im Raum. Der Fall gerät völlig außer Kontrolle als Sebastians Mutter Josef Bacher für den Tod ihres Sohnes verantwortlich macht und ihn ermordet. Richard Brock erkennt jedoch bald: Eva Ulmer hat sich folgenschwer geirrt.";"A fugitive of justice, Sebastian Ulmer takes hostages in a book shop. Richard Brock, a police psychologist and one of the hostages, tries to talk the desperate young man into giving up. But Sebastian, despairing, sees no way out and shoots himself. Brock is deeply affected by the incident and resolves to uncover the reasons. The Reverend Josef Bacher provides the psychologist with vital clues: even at the age of nine, Sebastian had wanted to commit suicide. Sexual abuse is suspected. Things get completely out of hand when Sebastian's mother, holding Josef Bacher responsible for her son's death, murders the minister. Yet Richard Brock soon comes to see that Eva Ulmer has made a terrible mistake."
Spuren des Bösen III ­ Zauberberg;Aichholzer Filmproduktion GmbH;1992942;458122;Land Niederösterreich,FFW,Land Steiermark;;ZDF,ORF;90;2012;"Aline, die sechsjährige Tochter der Ärztin Karin Staller, ist aus deren W ohnhaus am Semmering verschwunden. Trotz großer Suchaktion bleibt Aline unauffindbar. Der Tatverdacht fällt auf den psychisch kranken Max Rieger, der vor 25 Jahren wegen eines Mordversuchs an einem achtjährigen Buben verurteilt worden war. Brock war damals Max' Psychiater. Nun ruft ihn die örtliche Polizei zu Hilfe. Brock verhört Rieger. Aber warum soll ausgerechnet Rieger, der panische Angst vor Kindern hat, ein Kind entführen? Brock kommt keinen Millimeter weiter ­ bis die ehemalige Krankenpflegerin Monika Kramer sich stellt und verkündet, man werde Aline nur dann lebend wiedersehen, wenn sich deren Mutter Karin Staller die rechte Hand abschneide.";"Karin Staller is a doctor whose six-year-old daughter Aline disappears from their house at Semmering. A large search operation fails to find Aline. Suspicions fall on Max Rieger, an emotionally disturbed man who had been convicted 25 years earlier of the attempted murder of an eight-year-old boy. Brock, as Max's psychiatrist at the time, is now called on by local police for help. Brock interviews Rieger. Yet why would Rieger, who now has an intense fear of children, kidnap a child? Brock makes no progress in the case ­ until Monika Kramer, a former nurse, turns herself in and announces that Aline will never again be seen alive unless Karin Staller, Aline's mother, cuts off her right hand."
Spuren des Bösen IV ­ Schande;Aichholzer Filmproduktion GmbH;1887581;453000;FFW;;ZDF,ORF;90;2013;"Der ehemalige Polizeipsychologe Richard Brock muss aus seiner Wohnung flüchten: die Nachbarwohnung brennt. Eine verkohlte Leiche wird gefunden. Brocks Tochter Petra leitet die polizeilichen Ermittlungen. Sie bittet ihren Vater um Hinweise, aber Richard hatte keinen Kontakt zu dem toten Nachbarn und Uni-Kollegen. Kurz darauf taucht Gerald Pliem, ein geheimnisvoller Arzt, auf. Er verlangt eine Therapiestunde bei dem ehemaligen Polizeipsychologen und verstrickt Richard in einen für ihn beinahe tödlichen Plan. Richard muss ihn von diesem wahnsinnigen Plan abbringen.";"Former police psychologist Richard Brock has to flee from his flat: the neighbour's flat is on fire. A charred body is found. Brock's daughter Petra heads up the police investigation. She asks him for clues but Richard had no contact with the dead neighbour, who had been a colleague at the university. Soon afterwards Gerald Pliem, a secretive doctor, arrives on the scene, requesting therapy sessions with the former police psychologist, and entangles Richard in a scheme with almost lethal consequences for him. Richard must keep him from carrying out this mad plan."
Steirerblut;Allegro Filmproduktion GmbH;1693322;506193;Cinestyria;;ORF;90;2012;"Die junge Polizistin Sandra Mohr vom LKA Graz wird zu einem brutalen Mordfall in ihrer Heimatgemeinde St. Raphael gerufen. Jäger haben im Wald die nackte Leiche einer offenbar mit brutaler Gewalt erschlagenen Dame aus der Stadt gefunden. Was wollte die Journalistin aus Graz im letzten Winkel der Steiermark? Für Sandra wird dieser Fall eine Herausforderung. Ihr neuer Vorgesetzter Sascha Bergmann, der ihren Akt genau kennt und sie wegen ihrer Ortskenntnisse angefordert hat, ist ein boshaft veranlagter Chef. Und auch die verschworene Dorfgemeinschaft erweist sich für die ""verlorene Tochter"" alles andere als hilfreich. Mehr noch als der Fall wird die Konfrontation mit ihrer eigenen, komplizierten Vergangenheit zu einer Bewährungsprobe.";"Sandra Mohr, a young policewoman with the Styrian Criminal Investigation Department in Graz, is called to a brutal murder scene in her home village of St. Raphael. Hunters discovered the naked body of an apparently brutally beaten woman in the woods. Why was the woman, a reporter from Graz, in the most remote corner of Styria? The case proves a challenge for Sandra. Her new boss Sascha Bergmann, very much familiar with her file and a man with malicious tendencies, requested her because of her knowledge of the area. The tight-lipped village community, viewing her as their `prodigal daughter', also proves to be of little help. Sandra is put to the test, not just by the case but particularly as she has to face the details of her own complicated past."
Stille;Sunset Austria GmbH;2319915;463982;Cine Tirol;;NDR;88;2012;"Harald Kliewer, ein Fernsehjournalist, ist auf dem Höhepunkt seiner Karriere. Aufgrund eines gewagten Interviews mit einem mächtigen Banker spricht man weltweit über ihn. Aber man spricht auch über die Autobiografie seines Sohnes Alex, der schonungslos mit dem Verhalten seines Vaters abgerechnet. Kliewer wird klar, dass er nicht so weitermachen kann. Er muss weit weg von der medialen Öffentlichkeit, die er bedient und die ihn beherrscht. Weg von seiner Lebensgefährtin, von seinem Sohn und vom Geist seiner toten Tochter. Er fährt in ein Tiroler Dorf in eine entlegene Hütte, unerreichbar für alle. Hier muss er feststellen, dass Stille kein Garant ist für innere Ruhe. Und dass sich sein bisheriges Leben nicht so einfach abschütteln lässt.";"Harald Kliewer is a television journalist at the apex of his career. After a daring interview with an influential banker, he is the subject of talk all over the world. But people are also talking about his son Alex's autobiography, in which Alex unsparingly exposes his father's behaviour. It is clear to Kliewer that he cannot go on like this. He needs to get far away from the media, the master that he serves and which controls him. Away from his partner, from his son and from the memory of his dead daughter. He flees to a Tyrolean village, to a remote cabin, cut off from the outside. Here he discovers that quiet does not guarantee inner peace, and that it is not that simple to shake off his previous life."
Tante Herthas Rindsrouladen;Film27 Multimedia Produktion GmbH;1614083;313722;;;Sat.1,ORF;92;2009;"Nach einem Bankraub im Herzen Wiens schlüpft der gerissene Kleinganove Chester beim kindlich-naiven Briefmarkenhändler Herbert unter. Eine denkbar schlechte Wahl, vernichtet doch Herbert aus Tollpatschigkeit dessen gesamte Beute. Chester, dem der Unterweltcapo Otto im Nacken sitzt, ist am Boden zerstört. Da erfährt er, dass Herberts einzige Verwandte, Tante Hertha, eine großzügige Lebensversicherung für ihren Neffen abgeschlossen hat. Schon sieht er seine Geldsorgen gelöst, aber der Weg bis dahin verspricht noch jede Menge Spannung und Abenteuer.";"After a bank robbery in the heart of Vienna, the crafty small-time crook Chester hides in the home of the childlike and naïve stamp dealer Herbert. A very poor choice, since Herbert clumsily destroys Chester's entire haul. The underworld boss Otto is after Chester, Chester is devastated. Then he finds out that Herbert's only relative, his aunt Hertha, has taken out a generous life insurance policy for her nephew. He can already see himself free of financial worries, but getting there promises plenty of tension and adventure."
