Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Otto Skorzeny ­ SS-Agent für Hitler;Interspot Film-Gesellschaft m.b.H.;531349;105357;FFW;;ORF,ZDF;50;2010;"Otto Skorzeny war einer der am meisten geheimnisumwitterten ""Kriegshandwerker"" Hitlers. Seine Kommandounternehmen (u.a. die Befreiung Mussolinis vom Gran Sasso) haben den Verlauf des Zweiten Weltkriegs wesentlich beeinflusst. Mehr noch entfaltete aber der ""Mythos Skorzeny"" seine Wirkung: die deutsche Propaganda machte aus ihm eine ""Ein-Mann-Geheimwaffe"" Hitlers, eine Art ""national-sozialistischer James Bond"". Erstmals erzählt dieser Film die wahre und fanatisch-brutale Geschichte dieses Mannes, in Reenactments und bisher unveröffentlichten Archivaufnahmen.";"Of Hitler's warfare specialists, Otto Skorzeny was among those most heavily shrouded in mystery. The missions he undertook, among them the liberation of Mussolini from Gran Sasso, were decisive for the course of WWII. Even more significant was the effect generated by the ""Skorzeny myth"": German propaganda stylised him as Hitler's one-man secret weapon, a sort of ""Nazi James Bond"". This film relates for the first time the true story of this man, a tale of fanaticism and brutality, by re-enacting real scenes and through previously unpublished archive material."
Passagen ­ Eine Reise an die Grenzen Sloweniens;Langbein & Partner Media GmbH & Co KG;191696;25000;Media,CineStyria,FFW;;Servus TV,RTV Slovenija;49;2009;"Passagen zu entdecken bedeutet, auf beiden Seiten einer Grenze Geschichten zu finden: Die Dokumentation erzählt unterschiedliche Begebenheiten entlang der Grenze von Slowenien. Die Episoden entlang der 1.300 Kilometer langen slowenischen Staatsgrenze verdichten sich in dem Film zu einer Grenzwanderung durch unterschiedliche Zeiten, Lebensformen und Sprachen. Auf der Suche nach einer eigenen Kultur, Einheit und Sprache begleitet der Film den Lyriker Ales Steger aus Ptuj auf seiner Wanderung entlang der Grenzen seiner Heimat, in eine ""historische"" Zeit, in eine neue Grenzenlosigkeit seines Lebens.";"Discovering passages means finding stories on both sides of a border: this documentary tells the story of various occurrences and events along the Slove nian border. The episodes set along the 1,300 km Slovenian border blend into an astonishing journey through different times, ways of life and languages. In search of a country-specific culture, unity and language, this film accompanies the Slovenian poet Ales Steger from the town of Ptuj in Slovenia on his tour around his home country, into a ""historical"" time, into a new and unknown aspect of his life without any borders or walls."
Peter Roseggers Waldheimat;Epo ­ Filmproduktionsgesellschaft m.b.H.;352701;70000;BMUKK,CineStyria,Land Steiermark,Stadt Graz,Cine Art;;ORF;52;2013;"Peter Rosegger war neben Jules Vernes der meistgelesene Schriftsteller seiner Zeit. Obwohl er die internationalen Bestsellerlisten anführte und ein gefeierter Star war, entsprach sein Lebensstil so gar nicht dem eines reichen Dichterfürsten. Wie schaffte ein armer Bub vom ""Rand der Welt"" den Weg zu solchem Starruhm?";"Next to Jules Verne, Peter Rosegger was the most widely read author of his day. Though Rosegger headed the international best seller lists and was a celebrity, his lifestyle was hardly the kind that one would have expected of a wealthy prince among poets. How was a poor youngster from the `edge of nowhere' able to reach such stardom?"
Pfusch am Bau / 1. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;236429;45000;;;ATV;7x50;2010;"Der Traum von den eigenen vier Wänden, einer Sanierung oder einem Umbau wird schnell zum Albtraum, wenn nicht alles so läuft, wie es von Architekten, Bauträgern oder Baufirmen ursprünglich geplant und versprochen wurde. Was einst so schön erträumt wurde, wird nicht nur zum großen finanziellen, sondern mitunter auch zum emotionalen und gesundheitlichen Problem, vor allem, wenn die beauftragte Firma plötzlich Konkurs anmeldet oder einfach nicht mehr auffindbar ist. Die Opfer des Baupfusches und ihr beschwerlicher Weg zu einem intakten Lebensraum stehen im Mittelpunkt dieser 7-teiligen Dokumentar-Reihe.";"The dream of building, renovating or modifying your own home can quickly turn into a nightmare if things do not progress as the architect, property developer or building company originally planned and promised. A once enticing vision can become a major challenge, not only in financial terms but even to emotional and physical health, especially where the contracted firm unexpectedly declares bankruptcy or simply vanishes. At the focus of this seven-part documentary series are the victims of botched-up building jobs and their struggles for a decent place to live."
Pfusch am Bau / 2. Staffel;ON-MEDIA TV- und FilmProduktion GmbH;308292;60000;;;ATV;9x50;2011;"""Schimmelbildung, Risse in der Decke, undichte Fenster und Türen, windschiefe Wände, Wasserschäden"" ­ Die Opfer des Baupfusches und ihr beschwerlicher Weg zu einem intakten Lebensraum stehen im Mittelpunkt dieser 9 mal 50-minütigen Dokumentar-Reihe.";"""Mouldy corners, cracks in the ceiling, draughty doors and windows, leaning walls, water damage"" ­ at the focus of this nine-part 50-minute documentary series are the victims of botched-up building jobs and their struggles for a decent place to live."
Pfusch am Bau / 3. Staffel;ON-Media TV- und Filmproduktion GmbH;205435;40000;;;ATV;6x50;2011;"""Pfusch am Bau"" besucht auch in der 3. Staffel verzweifelte Bauherren in ihren Bauruinen und versucht, mit Hilfe eines Bausachverständigen der ""Bauherrenhilfe"" den Fehlern auf den Grund zu gehen. Experten aus dem Baugewerbe und Rechtsanwälte geben Tipps, worauf man bei Bauarbeiten, Verträgen mit Baufirmen und Mängelrügen achten muss. Wir besuchen jene Firmen, die für Bau und Schäden verantwortlich sind und fordern Erklärungen für deren Vorgangsweisen. Wo das Recht scheinbar eindeutig auf Seiten des Bauherren liegt, kämpfen die Opfer von Baupfusch oft bis an den Rand ihrer Existenz um ihr Recht auf Entschädigung.";"In its third season, Building Botch-Ups once again visits desperate owners of decaying homes in an attempt to get down to the cause, with the aid of a construction expert from the Homeowners' Aid association. Along with lawyers, industry experts provide tips on what to look out for when ordering construction work, contracting with builders and lodging complaints. We visit the companies responsible for jobs and the ensuing damage, and demand explanations of the techniques used. Whereas the law clearly appears to be on the homeowner's side, the victims of botch-ups often continue fighting down to the last penny for compensation."
Pfusch am Bau / 4. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;282330;56000;;;ATV;8x50;2012;"In der vierten Staffel werden die Ursachen und Auswirkungen durch unsachgemäße Ausführungen in unterschiedlichen Bauphasen oder bei Renovierungen von Einfamilienhäusern, Dachausbauten und Wohnungen beleuchtet. Da es in der Bauphase für den Laien kaum zu erkennen ist, ob Baumaterialien richtig gewählt werden und der Einbau sachgemäß vonstattengeht, wurde in der vierten Staffel die Rubrik ""Wie geht es richtig!"" geschaffen. Anhand von Musterbauten werden einzelne Bauschritte vorgezeigt. Der Bausachverständige Günther Nussbaum-Sekora erklärt hierbei die richtige Vorgangsweise eines Bauschrittes und gibt dem Zuseher Wissen in die Hand, mit dem er bereits beim Bau des Hauses erkennen kann, worauf unbedingt zu achten ist.";"The fourth season sheds light on the causes and effects of unprofessional working methods during the various building stages, the renovation of singlefamily dwellings or flats, or during attic conversions. A layperson can hardly ever judge whether the materials used are properly selected or installed. With this in mind, a new feature entitled ""How to do it right"" was created for the fourth season. Individual steps in building are illustrated by referring to model projects, while construction expert Günther Nussbaum-Sekora explains the proper procedures of a particular step and so provides viewers with the necessary knowledge of how to recognise key requirements already during construction."
Pfusch am Bau / 5. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;285451;56000;;;ATV;8x50;2012;"In der fünften Staffel von ""Pfusch am Bau"" ist wieder Günther NussbaumSekora als Bausachverständiger im Einsatz. Wer Opfer von verpfuschten Bauarbeiten wird, muss hart um sein Recht und sein verlorenes Geld kämpfen. Die Familien sind am Ende und streiten mit den zuständigen Baufirmen. Hier kommt Bausachverständiger Günther Nussbaum-Sekora ins Spiel. Denn wenn er Mängel aufdeckt, können Firmen sich nicht einfach so herausreden. Er weiß, wovon er spricht, und lässt sich nicht so schnell mit Floskeln und Ausflüchten abwimmeln. Für viele Betroffene ist der Bausachverständige die letzte Hoffnung, dass ihr verpfuschtes Haus doch noch instand gesetzt wird.";"Construction expert Günther Nussbaum-Sekora goes into action again in the fifth season of ""Building Botch-Ups"". Victims of botched-up building projects have to fight hard for their rights and their lost money. Families at the end of their means must argue with the companies responsible. Here is where expert Günther Nussbaum-Sekora enters the scene. Companies cannot simply explain away the mistakes he uncovers. He knows what he is talking about and is not easily fobbed off by generalities or excuses. For many victims, the construction expert is the last hope of getting their botched-up homes put into proper shape."
Pfusch am Bau / 6. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;283452;56000;;;ATV;8x50;2013;"""Pfusch am Bau"" geht in die 6. Staffel: Mittlerweile hat Bausachverständiger Günther Nussbaum bereits rund hundert Familien besucht. Mit seinem Fachwissen bewahrt er die leidgeprüften Bauherren vor noch größerem S chaden. Seit seinem Abschluss der Zertifizierung zum Bausachverständigen nach EN ISO/IEC 17024 im Jahr 2008 in Deutschland ist er als Bausachverständiger für die gesamte EU zugelassen. Für viele Familien ist er die letzte Hoffnung. Mit Hilfe des öffentlichen Drucks und der Fachkenntnis von Günther Nussbaum sind die Baufirmen eher bereit, eine Sanierung vorzunehmen.";"As ""Building Botch-Ups"" enters its sixth season, construction expert Günther Nussbaum has already been to see some one hundred families. He offers his expertise to agonising home owners to help them avoid even worse damage. Since meeting requirements for certification to EN ISO/IEC 17024 as a construction expert in Germany in 2008, Nussbaum is now a licensed expert for the entire EU. For many families he is the last hope. Backed by public pressure and the expert advice Günther Nussbaum provides, home owners are more likely to persuade construction firms to mend their mistakes."
Pfusch am Bau / 7. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;356953;70000;;;ATV;10x50;2013;"""Pfusch am Bau"" geht in die 7. Staffel: Auch in dieser Staffel hilft EUBausachverständiger Günther Nussbaum Bauherren, deren Traum vom Haus sich in einen Albtraum verwandelt hat. Wenn Baufirmen und Bauaufsicht versuchen, sich aus der Affäre zu ziehen und die Bauherren mit ihrem Latein am Ende sind, tritt Günther Nussbaum auf den Plan. Durch seine langjährige Erfahrung weiß er mit Baufirmen umzugehen und lässt sich von diesen nicht einschüchtern. Nussbaum hakt nach, telefoniert mit den Baufirmen und deren Subunternehmern und holt weitere Experten auf den Baustellen hinzu ­ bis jeder Mangel gefunden und der Verursacher klar benannt werden kann.";"As ""Building Botch-Ups"" enters its seventh season, EU construction expert Günther Nussbaum comes to the aid of home owners whose dream-house has turned into a nightmare. When construction firms and building authorities try to squirm out of their responsibility, leaving home owners at their wits' end, that is when Günther Nussbaum enters the scene. Thanks to many years of experience, he knows how to handle builders and is not easily intimidated by them. Nussbaum is persistent, calling up construction companies and their subcontractors and enlisting other experts to inspect the building site ­ until every problem is unearthed and the cause unequivocally identified."
Planet der Spatzen;Kurt Mayer (Kurt Mayer Film);493040;98608;FFW,BMUKK;;ORF,ARTE,NDR;52;2012;"""Planet der Spatzen"" folgt einer zu Unrecht gering geschätzten Art auf ihren weltumspannenden Abenteuern: Unscheinbar, klein und grau wirken die Haussperlinge, doch wie so oft trügt der erste Eindruck. Sie können so schön singen wie Kanarienvögel und sind hochintelligent. Die Kamera folgt den Luftakrobaten bei ihren Flügen durch verwinkelte Gassen und zeigt spektakuläre Flugmanöver. Neben den faszinierenden Lebens- und Überlebensstrategien der faustgroßen Vögel stellt die Dokumentation vor allem auch das Zusammenspiel von Mensch und Tier in den Mittelpunkt. Gezeigt wird eine Jahrtausende alte Koexistenz, die nicht immer harmonisch war.";"""Planet of the Sparrows"" follows a species on its adventures around the world. A species which, unjustly so, does not get the appreciation it deserves. House sparrows appear unimposing, small and grey, yet first impressions can be misleading. The beauty of their song compares to that of a canary, and sparrows are highly intelligent. The camera follows these winged acrobats as they soar through winding narrow streets, revealing spectacular aerial feats. Alongside the fascinating living and survival techniques of the fist-sized birds, the documentary focuses on the interaction of humans and animals. The film also reveals a co-existence that goes back thousands of years ­ and one that was not always harmonious."
Pralle Schönheit ­ Die Reise der Paradeiser;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;548662;109732;FFW,BMUKK,Land Niederösterreich,Land Burgenland;;ORF,ARTE;45/52;2012;"Welche Besonderheiten die Paradeisfrucht auszeichnen, weiß ganz besonders Erich Stekovics. In seinem Tresor befinden sich die Samen von 3.200 Sorten. Eine Schatzkammer, die ihn zum Paradeiserkönig erhebt und sein Pflanzenreich im Burgenland zur internationalen Drehscheibe für alle Tomatenliebhaber macht. Die Tomate besticht durch die Leuchtkraft des roten Farbstoffs Lycopin und durch die Raffinesse ihres Geschmacks. Bis zu 800 unterschiedliche Substanzen sollen am Aroma beteiligt sein. Die vorläufige Krönung ihrer Karriere erlebte die Tomate in Amerika ­ als Ketchup. Doch es ist ihr auch gelungen, in die Welt des Orients vorzudringen. Welche Geheimnisse diese pralle Schönheit noch in sich birgt, wird in diesem Film preisgegeben.";"Erich Stekovics is an expert on the special qualities that distinguish the tomato. His safe harbours the seeds of 3,200 varieties. A treasure trove which has established him as the `tomato king' and made his nursery in Burgenland a hub of interest for tomato-lovers all over the world. The tomato stands out, with its bright red colour, derived from the red dye lycopene, and its subtle, refined flavour. However, as many as 800 different substances are responsible for its aroma. The tomato has seen the peak of its career to date in the US ­ in the form of ketchup. Yet it has also succeeded in gaining ground in the Orient. The film reveals these and other secrets concealed beneath the luscious beauty of this fruit."
Putins Spiele;Satel Film GmbH;392140;78428;FFW;Saxonia Entertainment GmbH,Sasha Klein Productions LTD;MDR/ARTE,ORF,YES,TVR Schweiz,SVT Schweden,DR;52;2012;"Obwohl die IOC-Evaluierungskommission die russische Olympia-Bewerberstadt Sotschi nur auf Platz drei geführt hatte, bekam Putin, was er wollte. Wie kam es, dass Sotschi die Spiele zugesprochen bekam? Wie bringen die russischen Veranstalter das Kunststück fertig, einen traditionellen Sommerfrische-Ort in ein Wintersportparadies zu verwandeln? Was geschieht hinter den von Spezialkräften strengstens bewachten Zäunen der russischen Olympia-Baustelle? Weshalb sagte Putin zu Österreichs Bundespräsident, dass Sotschi auch ""eine österreichische Olympiade"" sei und versprach Aufträge in Milliardenhöhe?";"Although the IOC evaluation commission rated the Russian city of Sochi only third among Olympia candidates, Putin got what he wanted. Why was Sochi awarded the games? How will Russian organizers pull off the stunt of transforming a traditional summer holiday resort into a paradise for winter sports? What is happening behind the fences around Russia's Olympia construction site; a fence that is strictly guarded by special forces? What is behind Putin's statement to Austria's federal president that Sochi will also be ""Austria's Olympics"", promising contracts worth millions?"
Reiseckers Reisen / 3. Staffel;Nikolaus Geyrhalter Filmproduktion GmbH;323541;97060;FFW,Land Oberösterreich;;ORF;10x25;2013;"In dieser innovativen Reisereportage in Episodenform quer durch Österreich präsentiert Michael Reisecker sein schräges Österreich-Bild. In zehn Folgen begegnet er in diversen Regionen Österreichs Menschen, die von ihren persönlichen Erlebnissen, ihrem Alltag und ihren Träumen erzählen. Seine Portraits sind ein Mix aus Dokumentation und Roadmovie und gewähren einen Einblick in den mitunter auch kuriosen Alltag menschlichen Seins. Ein Abstecher auf die Färöer-Inseln, die nicht nur den fußballaffinen Österreichern ein Begriff sind, gibt in einer Spezialfolge einen Einblick in den Alltag und die Lebensweise der Bewohner dieser nordatlantischen Inselgruppe.";"This innovative travel report delivered in episodes follows Michael Reisecker's travels through Austria as he presents his idiosyncratic angle on the country. In the ten instalments he encounters people from the various regions of Austria who relate their personal experiences, day-to-day lives and their dreams. A hybrid of documentary and road movie, his portraits convey insights into daily lives that can even be quirky in some cases. A special detour features an excursion to the Faroe Islands, familiar not only to Austrian football fans, providing impressions of both the way of life and the day-to-day lives of the people inhabiting this group of islands in the North Atlantic."
Rund um den Ötscher ­ Wildes Land am Rand der Alpen;Interspot Film-Gesellschaft m.b.H.;400000;80000;Land Niederösterreich,CineStyria;;ORF,BR;50;2013;"Die Dokumentation zeigt die atemberaubenden Naturschönheiten des Ötscher- bzw. Mariazeller Landes im Jahresverlauf. Hier finden sich der letzte große Urwald der Alpen, der kälteste Ort Österreichs, imposante Felsschluchten und unberührte Seen. Die Vielfalt der Landschaft bedingt auch eine Vielzahl an seltenen Pflanzen und Wildtieren. Auch vom Leben der Menschen wird berichtet: bis vor wenigen Jahrzehnten war es ein ständiger Kampf gegen eine übermächtig scheinende Natur, der zum Rückgang der Waldbestände, aber auch zur Ausrottung der letzten großen Raubtiere geführt hat. Wird es in Zukunft eine Chance für echte Wildnis rund um den Ötscher geben?";"The documentary reveals the breath-taking natural beauty as it unfolds year-round in the region between Mount Ötscher and Mariazell. The area shelters the last great primeval forest of the Alps, Austrias coldest spot, towering canyons and pristine lakes. The diversity of landscapes correspondingly engender a variety of rare plants and wild animals. The focus is also on human civilisation how, until only recent decades, an incessant struggle took place against seemingly overpowering natural forces, leading not only to dwindling forests but also to the extinction of the last great predators. Does the future hold any prospect of true wilderness in the environs of the Ötscher?"
Schladminger Bergwelten;Interspot Film-gesellschaft m.b.H.;637786;120200;Cinestyria;;ORF,BR;2x50;2011;"Die zweiteilige Dokumentation ""Schladminger Bergwelten"" berichtet von einer einzigartigen Landschaft, wo Menschen und Wildtiere seit Jahrtausenden neben- und miteinander leben und die zu den vielfältigsten und ursprünglichsten des gesamten Alpenraums zählt. In Teil 1 ""Von Gipfeln und Gämsen"" erleben wir Naturlandschaften und beobachten spannende Naturgeschichten im Jahreslauf. Teil 2 ""Zwischen Jahrhunderten und Hundertstelsekunden"" zeigt die Region Schladming-Dachstein als Lebensraum für Menschen, die es immer wieder verstanden haben, von und mit der Natur zu leben. Die Episoden über die Menschen, die mit der Bergwelt rund um Schladming verbunden sind, bieten die Gelegenheit, auch von der Geschichte dieser Landschaft zu berichten.";"Schladming's Alpine World is a two-part documentary about a most singular landscape where humans and wild animals have co-existed for thousands of years; the region is among the most diverse and untouched within all of the Alps. In part 1, entitled Summits and Chamois, viewers experience natural landscapes and observe exciting dramas of nature unfolding through the seasons. Part 2, Between Centuries and Milliseconds, presents the Schladming-Dachstein region as a habitat for people that have consistently maintained the ability to live with and from nature. An opportunity to feature the history of the alpine world surrounding Schladming is provided by the episodes focusing on the people that have nurtured a tie with this region."
Schönbrunner Tiergeschichten;Metafilm GmbH;345061;98296;BMUKK,FFW,Cinestyria;;ORF;45/52;2012;"Im Mittelpunkt der Dokumentation steht der Tiergarten Schönbrunn. Neue Kameraperspektiven zeigen den Alltag im Zoo, der den Besuchern verborgen bleibt. Auf 17 Hektar vereint der älteste Zoo der Welt Natur aus allen Kontinenten. Er ist Drehscheibe der Arterhaltung, historisch gewachsenes Weltkulturerbe, Heimat von ca. 8.000 Tieren, Arbeitsplatz von 350 Mitarbeiterinnen und Mitarbeitern, davon sind 70 Tierpfleger. Manche von ihnen stellen ihr ganzes Leben in den Dienst ihrer Schützlinge. Mit den ihnen anvertrauten Tieren erleben sie Geburt und Heranwachsen, Altern und Tod ­ und manchmal auch das Ende einer ganzen Spezies. Der Zoo ist aber auch Drehscheibe für Artenschutz und internationale Zuchtprogramme, für Forschung und Bildung.";"The documentary focuses on Schönbrunn Zoo. The camera lens provides novel perspectives on daily behind-the-scenes zoo life otherwise hidden from visitors. The world's oldest zoo brings together on 17 hectares natural life from all continents. It is a species conservation centre, a historically developed world cultural heritage site, home for about 8,000 animals and the employer of some 350 people, 70 of whom are animal attendants. Some devote their whole lives to serving the animals entrusted to them, experiencing their birth and growth, ageing and death ­ and sometimes even the end of an entire species. The zoo is also a centre of activity for species' conservation and international breeding programmes and for research and education."
Sex, Pille & Emanzipation;Vincentius Lucassen (WILDart Film);218653;28439;FFW;OVAL Filmemacher GbR;ZDF/ARTE,ORF;45;2010;"Als 1960 die erste Antibabypille in den USA auf den Markt kommt, werden Amerikas Moralisten auf eine harte Probe gestellt. Die jahrhundertealte christliche Sexualmoral scheint durch das harmlos aussehende Hormondragee ebenso bedroht wie das Fortbestehen der Menschheit an sich. 50 Jahre danach fragen wir: Wie stark haben die Pille und die sexuelle Revolution unser Leben verändert? Und wie groß ist die Gefahr, die vom millionenfachen Hormon-Konsum ausgeht? Der Film nimmt den Zuschauer mit auf eine spannende Reise von den Befreiungsutopien der 60er-Jahre zu den Fortpflanzungsutopien des neuen Jahrhunderts.";"When the first birth control pills were brought to the US market in 1960, American moralists were faced with a tough dilemma. Centuries of Christian sexual morality appeared under threat by the ostensibly innocuous hormone, no less than the very future of mankind itself. Fifty years later we look at how strongly the pill and the sexual revolution have changed our lives. And how serious is the risk entailed by the intake of millions of hormone doses? Our film takes audiences on a fascinating journey, from the utopian liberation fantasies of the 1960s to the utopian visions of reproduction in the new century."
Snow Business;NAVIGATOR FILM PRODUCTION ­ Verein zur Förderung und Durchführung von Filmprojekten & Co KG;315260;30000;Media,CNC;Artline Films SARL;France 5,ORF,RAI,RTS,YLE;52;2013;"Dieser Dokumentarfilm gestattet einen Blick hinter die Kulissen der Ski-Industrie und untersucht die Zusammenhänge zwischen den aktuellen Trends im Ski- und Bergsport und den unausweichlichen ökonomischen wie ökologischen Folgen einer extremen Ausbeutung der Umwelt. Als Antwort auf die stetige Klimaerwärmung geht die Ski-Industrie dazu über, komplette s chlüsselfertige Ski-Ressorts zu exportieren. Hier zählen österreichische, französische und Südtiroler Unternehmen zu den Marktführern. Warum wird weiterhin so aggressiv für Wintersport geworben, wo man längst um den Schaden für Natur und Umwelt weiß? Sind künstliche Ski-Gebiete fern der Berge wirklich die Zukunft?";"This documentary provides a glimpse behind the scenes of the skiing industry, exploring the relationship between current trends in skiing and mountain sports and the unavoidable economic and ecological consequences of exploiting the environment to the limits. In response to an increasingly warmer climate, the skiing industry has gone over to exporting entire ski resorts, turnkey style. Companies based in Austria, France and South Tyrol lead this segment of the market. Why the continued aggressive marketing of winter sports, although the damage to nature and the environment are common knowledge? Does the future truly lie in artificial ski resorts far from any mountain?"
Stonehenge ­ The true Story at last;Interspot Film-Gesellschaft m.b.H.;1646040;129772;Canada Media Fund;October Films LTD,private limited company,Lightship Entertainment Inc.;BBC,CBC,Smithsonian France 5,ZDF,ORF,SBS;2x60;2013;"Die Dokumentation lässt ein neues Bild von Stonehenge, der Ikone unter den prähistorischen Stätten Europas, entstehen. Der Film zeigt die revolutionären archäologischen Forschungsmethoden des Ludwig Boltzmann Institutes für archäologische Prospektion und virtuelle Archäologie, das an der Spitze eines internationalen Forschungsprogramms die Oberfläche der geheimnisumwitterten Landschaft rund um Stonehenge virtuell entfernt und dabei die wahre Geschichte der verlorenen Zivilisation freilegt. Eine Kombination von CGI, Reenactments und einem Inside-View in die Welt der Wissenschaft lässt die Geschichte von Englands prähistorischer ""Heiliger Landschaft"" für die Zuschauer anschaulich werden.";"The documentary sketches a new picture of Stonehenge, the icon among Europe's prehistoric sites. The film presents the revolutionary archaeological techniques developed by the Ludwig Boltzmann Institute for Archaeological Prospection and Virtual Archaeology, which is spearheading an international research effort aimed at virtually removing the surface layer of the mysterious landscape surrounding Stonehenge to reveal the true story of the lost civilisation beneath. By combining computer imagery, re-enactments and inside views of the world of science, the documentary invites viewers to visualise the past of England's prehistoric `sacred landscape'."
Sturm auf die Berge ­ 150 Jahre Alpengeschichte mit Reinhold Messner;MAKIDO Filmproduktion GmbH;510018;100000;BMUKK,Land Salzburg,Land Tirol,BLS;;ORF,HR,Planet TV;3x52;2013;"In der dreiteiligen Dokumentation erzählt Reinhold Messner lebendig, kenntnisreich und mit großer innerer Beteiligung 150 Jahre Alpengeschichte, während er die Zuschauer zu den historischen Schauplätzen führt, an denen alpine Zeitgeschichte geschrieben wurde: Im Juli 2015 jährt sich zum 150. Mal die Erstbesteigung eines der höchsten Alpengipfel ­ des Matterhorns. Im Mai 2015 begann vor genau 100 Jahren mit dem Eintritt Italiens in den Ersten Weltkrieg ein einzigartiger Gebirgskrieg, dessen Narben in der Landschaft noch heute schmerzen. Im April 2015 ist es 70 Jahre her, dass mit dem Ende des Zweiten Weltkrieges zehntausende Juden illegal über die Alpen nach Palästina geschleust wurden.";"Reinhold Messner hosts this three-part documentary as he relates, in a lively and highly personal and detailed manner, 150 years of Alpine history, guiding viewers to the historic venues where contemporary Alpine history was made. July 2015 marks the 150th anniversary of the first ascent of one of the highest summits in the Alps ­ the Matterhorn. And in May 2015 it will have been exactly 100 years ago since Italy entered WWI, signalling the start of a uniquely devastating Alpine war that left scars in the landscape still visible to this day. April 2015 marks 70 years since the end of WWII, when many thousands of Jews were illegally shunted over the Alps on their journey to Palestine."
Südtirol ­ Zwischen Hoffnung und Gewalt;PAMMER FILM E.U.;71619;13413;Land Niederösterreich,Land Tirol;;ORF,RAI;45;2010;"50 Jahre nach der Südtiroler ""Feuernacht"" will die Dokumentation ein spannendes Kapitel Zeitgeschichte verständlich machen. Wie konnte ein solcher Konflikt in einem sich einigenden Europa entstehen? Inwiefern gab es österreichische Unterstützung für die Feuernacht? Welche Rolle haben Politiker gespielt? Ehemalige Attentäter (Josef Innerhofer, Josef Mitterhofer, Klaudius und Herlinde Molling, Sepp Forer), ein ehemaliger Carabiniere und Politiker erinnern sich. Journalisten wie Hans Karl Peterlini und Umberto Gandini beurteilen Südtirols Weg vom Krisenherd zur Vorzeige-Autonomie.";"Fifty years after the series of bombings known as South Tyrol's ""Feuernacht"" (fire night), the documentary aims to shed light on a tense chapter in modern European history. How was it possible for such a conflict to break out in Europe on the brink of unification? How much support for the bombings came from Austria? What role did political figures play? Former activists (Josef Innerhofer, Josef Mitterhofer, Klaudius and Herlinde Molling, Sepp Forer) as well as an Italian police officer and government officials at the time recall the events. Journalists, including Hans Karl Peterlini and Umberto Gandini, evaluate South Tyrol's progress, from seat of crisis to example of political autonomy."
Tierische Arbeit;Gesellschaft für Video - und Produktion m.b.H. Nfg. & Co KG;251494;50000;Land Niederösterreich,CineStyria;taglicht media Film- & Fernsehproduktion GMBH;ORF/3sat;6x30;2009;"Selbst im Zeitalter rapide voranschreitender Technisierung nutzt der Mensch in manchen Bereichen auch heute noch die Arbeit von Tieren. Diese sechsteilige Fernsehserie erzählt über den Arbeitsalltag dieser Tiere. Mit ihren besonderen Talenten und speziellen Sinnen erledigen sie Aufgaben, die sonst niemand bewältigen kann. Die Filme leben nicht nur von den Eindrücken, die die österreichische Landschaft und Kultur ermöglichen, sondern ganz besonders von den Geschichten, die sich um das Beziehungsverhältnis zwischen Mensch und Tier ranken und die uns schon immer fasziniert haben.";"Even in our age of rapidly developing technologies people use animals for work in some fields. This series describes the daily job of these animals in six episodes. With their specific talents and special senses they carry out tasks no one else could do. The episodes, providing stunning impressions of the Austrian landscape and snapshots of culture, are set around stories about the relationship between humans and animals, something that has always fascinated people."
Ulrich Seidl und die bösen Buben;NAVIGATOR FILM PRODUCTION ­ Verein zur Förderung und Durchführung von Filmprojekten & Co KG;303074;65000;FFW,BAK,Teleproduktionsfonds,Land Niederösterreich;Dschoint Ventschr Filmproduktion AG,Gebrüder Beetz Filmproduktion Berlin GmbH & Co KG;ZDF/ARTE,SRF,ORF;52;2012;"Der Dokumentarfilm porträtiert den international renommierten österreichischen Regisseur Ulrich Seidl und sein Werk. Ausgangspunkt dafür bilden zwei neue Projekte: der Dokumentarfilm ""Im Keller"" und das Theaterstück ""Böse Buben"". Beide Projekte sind untrennbar miteinander verbunden und zeigen Seidl als Film- und Theaterregisseur bei seiner Arbeit. In beiden Projekten setzt sich Seidl explizit mit der Sichtweise von Männern auseinander. Er versammelt u. a. einige zentrale Protagonisten aus früheren Spiel- und Dokumentarfilmen. Mittels zahlreicher Szenen von den Dreh- und Probenarbeiten sowie Ausschnitten aus früheren Filmen soll ein Einblick in den eigenwilligen Kosmos Seidls gegeben werden.";"The documentary is a portrait of the internationally recognised Austrian director Ulrich Seidl and his work. The film features two new projects: the documentary ""In the Cellar"", and ""Bad Boys"", a theatre production. The two projects, which are inextricably connected, show the film and theatre director Seidl at work. In both projects Seidl takes a critical look specifically from the male point of view. He assembles several main protagonists from past feature films and documentaries. Numerous scenes from shooting sessions and rehearsals as well as excerpts from past films are presented as a means of providing insight into the idiosyncrasies of Seidl's world."
